"","Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
"1",1503960366,2016-04-12,1,327,346
"2",1503960366,2016-04-13,2,384,407
"3",1503960366,2016-04-15,1,412,442
"4",1503960366,2016-04-16,2,340,367
"5",1503960366,2016-04-17,1,700,712
"6",1503960366,2016-04-19,1,304,320
"7",1503960366,2016-04-20,1,360,377
"8",1503960366,2016-04-21,1,325,364
"9",1503960366,2016-04-23,1,361,384
"10",1503960366,2016-04-24,1,430,449
"11",1503960366,2016-04-25,1,277,323
"12",1503960366,2016-04-26,1,245,274
"13",1503960366,2016-04-28,1,366,393
"14",1503960366,2016-04-29,1,341,354
"15",1503960366,2016-04-30,1,404,425
"16",1503960366,2016-05-01,1,369,396
"17",1503960366,2016-05-02,1,277,309
"18",1503960366,2016-05-03,1,273,296
"19",1503960366,2016-05-05,1,247,264
"20",1503960366,2016-05-06,1,334,367
"21",1503960366,2016-05-07,1,331,349
"22",1503960366,2016-05-08,1,594,611
"23",1503960366,2016-05-09,1,338,342
"24",1503960366,2016-05-10,1,383,403
"25",1503960366,2016-05-11,1,285,306
"26",1644430081,2016-04-29,1,119,127
"27",1644430081,2016-04-30,1,124,142
"28",1644430081,2016-05-02,1,796,961
"29",1644430081,2016-05-08,1,137,154
"30",1844505072,2016-04-15,1,644,961
"31",1844505072,2016-04-30,1,722,961
"32",1844505072,2016-05-01,1,590,961
"33",1927972279,2016-04-12,3,750,775
"34",1927972279,2016-04-13,1,398,422
"35",1927972279,2016-04-15,2,475,499
"36",1927972279,2016-04-26,1,296,315
"37",1927972279,2016-04-28,1,166,178
"38",2026352035,2016-04-12,1,503,546
"39",2026352035,2016-04-13,1,531,565
"40",2026352035,2016-04-14,1,545,568
"41",2026352035,2016-04-15,1,523,573
"42",2026352035,2016-04-16,1,524,567
"43",2026352035,2016-04-17,1,437,498
"44",2026352035,2016-04-19,1,498,540
"45",2026352035,2016-04-20,1,461,510
"46",2026352035,2016-04-21,1,477,514
"47",2026352035,2016-04-22,1,520,545
"48",2026352035,2016-04-23,1,522,554
"49",2026352035,2016-04-24,1,555,591
"50",2026352035,2016-04-25,1,506,531
"51",2026352035,2016-04-27,1,508,545
"52",2026352035,2016-04-28,1,513,545
"53",2026352035,2016-04-29,1,490,510
"54",2026352035,2016-04-30,1,573,607
"55",2026352035,2016-05-01,1,527,546
"56",2026352035,2016-05-02,1,511,543
"57",2026352035,2016-05-04,1,538,560
"58",2026352035,2016-05-05,1,468,485
"59",2026352035,2016-05-06,1,524,548
"60",2026352035,2016-05-07,1,511,521
"61",2026352035,2016-05-08,1,541,568
"62",2026352035,2016-05-09,1,531,556
"63",2026352035,2016-05-10,1,357,380
"64",2026352035,2016-05-11,1,523,553
"65",2026352035,2016-05-12,1,456,485
"66",2320127002,2016-04-23,1,61,69
"67",2347167796,2016-04-13,1,467,531
"68",2347167796,2016-04-14,1,445,489
"69",2347167796,2016-04-15,1,452,504
"70",2347167796,2016-04-17,1,556,602
"71",2347167796,2016-04-18,1,500,557
"72",2347167796,2016-04-19,1,465,514
"73",2347167796,2016-04-21,1,460,484
"74",2347167796,2016-04-22,1,405,461
"75",2347167796,2016-04-23,1,374,386
"76",2347167796,2016-04-24,1,442,459
"77",2347167796,2016-04-25,1,433,471
"78",2347167796,2016-04-26,1,436,490
"79",2347167796,2016-04-27,1,448,499
"80",2347167796,2016-04-28,1,408,450
"81",2347167796,2016-04-29,1,411,473
"82",3977333714,2016-04-12,1,274,469
"83",3977333714,2016-04-13,2,295,456
"84",3977333714,2016-04-14,1,291,397
"85",3977333714,2016-04-15,1,424,556
"86",3977333714,2016-04-16,1,283,510
"87",3977333714,2016-04-17,1,381,566
"88",3977333714,2016-04-18,2,412,522
"89",3977333714,2016-04-19,1,219,395
"90",3977333714,2016-04-20,2,152,305
"91",3977333714,2016-04-21,1,332,512
"92",3977333714,2016-04-22,1,355,476
"93",3977333714,2016-04-23,1,235,372
"94",3977333714,2016-04-24,1,310,526
"95",3977333714,2016-04-25,1,262,467
"96",3977333714,2016-04-26,1,250,371
"97",3977333714,2016-04-27,1,349,540
"98",3977333714,2016-04-28,1,261,423
"99",3977333714,2016-04-29,1,333,478
"100",3977333714,2016-04-30,1,237,382
"101",3977333714,2016-05-01,1,383,626
"102",3977333714,2016-05-02,1,230,384
"103",3977333714,2016-05-03,1,292,500
"104",3977333714,2016-05-04,1,213,336
"105",3977333714,2016-05-05,1,318,480
"106",3977333714,2016-05-06,1,323,512
"107",3977333714,2016-05-07,1,237,443
"108",3977333714,2016-05-08,2,259,456
"109",3977333714,2016-05-10,1,312,452
"110",4020332650,2016-04-12,1,501,541
"111",4020332650,2016-04-16,1,77,77
"112",4020332650,2016-05-03,1,322,332
"113",4020332650,2016-05-04,1,478,536
"114",4020332650,2016-05-05,1,226,248
"115",4020332650,2016-05-06,1,385,408
"116",4020332650,2016-05-08,1,364,402
"117",4020332650,2016-05-10,1,442,494
"118",4319703577,2016-04-14,1,535,557
"119",4319703577,2016-04-15,1,465,491
"120",4319703577,2016-04-16,1,506,522
"121",4319703577,2016-04-18,1,515,551
"122",4319703577,2016-04-19,2,461,498
